session,modelname_new,body_mass_kg,height_m,rta_mass_kg,rta_length_m,rta_depth_radius_m,rta_shoulder_radius_m,rta_ixx_kg_m2,rta_iyy_kg_m2,rta_izz_kg_m2,rta_izz_frame_mean_kg_m2,rta_izz_frame_sd_kg_m2,rta_izz_frame_range_kg_m2,rta_izz_max_frame_deviation_pct,rta_izz_mean_coordinate_difference_pct,max_static_marker_spread_m,izz_pred_constant_kz_loocv,izz_ape_constant_kz_loocv_pct,izz_pred_mass_height_sq_loocv,izz_ape_mass_height_sq_loocv_pct,izz_pred_mass_power_loocv,izz_ape_mass_power_loocv_pct,izz_pred_mass_height_power_loocv,izz_ape_mass_height_power_loocv_pct,izz_pred_mass_height_both_power_loocv,izz_ape_mass_height_both_power_loocv_pct
1783,000890_001783_model.c3d,90.2664,1.8034,32.044572,0.26617862692218197,0.09243205086254293,0.13942462686301316,0.2576440027573353,0.3449297521818393,0.22417509839321356,0.22417510730087614,4.198926380389404e-05,0.0001298883337032264,0.03976617192631062,-3.973529015317667e-06,0.0002486834143050511,0.22462236289206042,0.1995156919981954,0.2097686269138525,6.426437005100108,0.2196386435271119,2.0236212222574808,0.2162376232607042,3.5407479195511105,0.220690940945852,1.5542125206298238
1808,000538_001808_model.c3d,98.4312,1.8288,34.943076,0.28833629903324565,0.09703848751271744,0.14807244246384335,0.32435102388755715,0.43362658497738055,0.2737957406041619,0.27379575010939877,4.5409451608223336e-05,0.0001448755600279572,0.03824526323100902,-3.4716525737029403e-06,0.00014303694891038942,0.2445957945678738,10.664864972645315,0.23495168428437632,14.187239083439241,0.25153336248298086,8.13101696617213,0.2374146024698941,13.28769324679362,0.25262684161965343,7.731639264291274
1826,000283_001826_model.c3d,91.1736,1.905,32.366628,0.21504249918453783,0.08733461649446125,0.13826577125610853,0.18644602444992128,0.27941987757232106,0.21640941426601548,0.21640944590351152,6.871079408102031e-05,0.00022189685111065338,0.057982452009583324,-1.461927899344412e-05,0.00024106349641976797,0.22698088214931755,4.884939002841797,0.23678329752345229,9.414508757180384,0.22325105533661668,3.16143412420649,0.2255210956472195,4.210390482367709,0.22217675920449934,2.665015733277897
1830,001062_001830_model.c3d,84.3696,1.6764,29.951208,0.22032233415288793,0.0782746913300957,0.13904185020892953,0.16703467433721794,0.2659164071514486,0.1906361698380774,0.1906361926507244,3.0467526531965145e-05,0.00010218925537638923,0.027000344630488064,-1.1966589033466548e-05,0.0002725743876040792,0.21011075920748776,10.215579439070604,0.16940373409898662,11.137674323359095,0.19754563823620896,3.624426783228137,0.19434501549070018,1.945509950065089,0.2015608356447694,5.730636434823038
1845,001068_001845_model.c3d,92.5344,1.905,32.849712,0.23957392026265942,0.08831990339588812,0.12520564438733556,0.22117951789731669,0.2858609954373186,0.19280201192311774,0.192802831711613,0.000507777232965665,0.0014841706731130166,0.38577882133837427,-0.0004251970646350032,0.0007587776348713326,0.23065045389914265,19.630729782590368,0.24062819447447403,24.80585242566223,0.22887832491652854,18.71158533749984,0.22935301123451826,18.957789364758128,0.22802673499661444,18.26989393012299
2653,001466_002653_model.c3d,77.112,1.905,27.37476,0.2569564018617569,0.0763375612700585,0.1500413120036688,0.19050292180711761,0.3046896981562884,0.19394893293866233,0.19394900020279804,9.258204370404448e-05,0.00023760849241680204,0.07561966348480556,-3.4681364154276634e-05,0.0003646149019448071,0.1918698846702813,1.0719565387031817,0.20012515958128907,3.184460233447126,0.17064110545865466,12.01750745768678,0.1905668987716689,1.743775598942334,0.168403095012513,13.171424838015678
2655,001005_002655_model.c3d,94.3488,1.8034,33.493824,0.2646760648775244,0.08078474986006183,0.15296000801299925,0.25017638743211296,0.39144151576545955,0.25055842031915415,0.2505584385628314,1.4086405805322553e-05,5.573675201508976e-05,0.011318468588397003,-7.28120699848603e-06,0.0001932930630509268,0.23460623683384388,6.366652322037646,0.21909027383018675,12.559205333783702,0.23540891818153414,6.0462953583132455,0.22579446371297648,9.88350604008201,0.2367370345737246,5.5162327922662735
2730,000976_002730_model.c3d,89.8128,1.8796,31.883543999999997,0.2928685954703633,0.07841360545559176,0.15383523653688363,0.27690351752802966,0.41652623146776624,0.23764378414214554,0.23764380121159157,2.982594537780765e-05,9.007796486504294e-05,0.019239947788960897,-7.18278665900222e-06,0.00025789800053976783,0.22335094483747603,6.014396444773122,0.22674933384915852,4.5843615612813835,0.2177517885255466,8.370509537375751,0.22014781086886076,7.362268420544779,0.2170756820854218,8.655013692435155
2734,000359_002734_model.c3d,87.9984,1.8288,31.239432,0.2742997128614812,0.07618231494457706,0.1381149269966963,0.24119852934958483,0.34485087060889247,0.19430519161881243,0.19430520584425978,2.0790270323607197e-05,6.248930655688989e-05,0.018921068906930686,-7.321187472832561e-06,0.0003226889055629606,0.2192056479863788,12.815126636665491,0.2105626175502803,8.366953963516146,0.2112140760372975,8.702229867155008,0.2127955069320995,9.516120057955701,0.21155448205457342,8.877421283524225
2742,000581_002742_model.c3d,99.792,1.905,35.426159999999996,0.2758987376158379,0.08701004890159902,0.13196834280796804,0.29177091432354707,0.3789626197447124,0.2212929812074804,0.2212929944657745,4.035829335822543e-05,0.00013186866051728696,0.043966056814573565,-5.991285412279136e-06,0.00021788309581156397,0.24864820889362035,12.361543297431645,0.2594199625904942,17.22918692449022,0.2581330743852564,16.647655509342787,0.24710109000859556,11.662416340678218,0.2575603666066993,16.388854811990278
