session_pitch,duration_s,stp_energy_j,mean_power_w,session,session_mass_kg
2919_4,0.10010000000000008,120.85442625500013,1207.3369256243761,2919,84.8232
2919_5,0.11389999999999989,148.3316410749999,1302.2971121597898,2919,84.8232
2923_1,0.01650000000000018,13.129035930000324,795.6991472727382,2923,73.4832
2923_2,0.016499999999999737,8.243094349999865,499.5814757575755,2923,73.4832
2923_3,0.03059999999999996,31.36152652000004,1024.886487581702,2923,73.4832
2923_4,0.016699999999999937,8.638649060000041,517.2843748503038,2923,73.4832
2923_5,0.013900000000000023,5.876607909999978,422.7775474820121,2923,73.4832
2926_1,0.09730000000000016,118.61327540500028,1219.0470236896206,2926,80.7408
2926_2,0.0915999999999999,111.38996960999991,1216.047703165939,2926,80.7408
2926_4,0.09170000000000011,109.38880813000034,1192.8986709923686,2926,80.7408
2926_5,0.09989999999999988,142.67065821999986,1428.1347169169173,2926,80.7408
2927_1,0.04449999999999976,45.04368403499982,1012.2176187640463,2927,79.8336
2927_2,0.044499999999999984,44.290232549999985,995.2861247191012,2927,79.8336
2927_3,0.038799999999999946,40.16615989999994,1035.2103067010307,2927,79.8336
2927_4,0.044499999999999984,46.43406996499998,1043.4622464044942,2927,79.8336
2927_5,0.0360999999999998,39.4307266899998,1092.2638972299176,2927,79.8336
2935_1,0.05279999999999996,44.17696855499998,836.6850105113639,2935,90.72
2935_2,0.05290000000000017,46.02450398500032,870.0284307183398,2935,90.72
2935_3,0.04720000000000013,35.86858814500001,759.9277149364389,2935,90.72
2935_4,0.05559999999999987,47.57118094999985,855.5967796762583,2935,90.72
2935_5,0.05010000000000003,41.77067223499993,833.7459527944092,2935,90.72
2965_1,0.06940000000000013,69.93747732000031,1007.7446299711842,2965,87.0912
2965_2,0.0472999999999999,57.948697904999904,1225.1310339323472,2965,87.0912
2965_3,0.05269999999999997,66.40597455499984,1260.0754185009466,2965,87.0912
2965_4,0.050000000000000044,59.58077345000013,1191.6154690000014,2965,87.0912
2965_5,0.058299999999999796,53.61668554499982,919.6687057461407,2965,87.0912
2969_1,0.09729999999999994,182.75425753999974,1878.2554731757436,2969,104.7816
2969_2,0.09719999999999995,166.52849005999997,1713.2560705761323,2969,104.7816
2969_3,0.06940000000000013,114.62572113000007,1651.66745144092,2969,104.7816
2979_1,0.04170000000000007,40.38785738499997,968.5337502398057,2979,101.6064
2979_2,0.06940000000000013,102.72036922000032,1480.1205939481288,2979,101.6064
2979_3,0.07499999999999973,114.83673312499967,1531.1564416666677,2979,101.6064
2979_4,0.06390000000000029,116.54537222500022,1823.8712398278512,2979,101.6064
2979_5,0.04990000000000028,86.90567325000015,1741.5966583166266,2979,101.6064
2981_1,0.06669999999999998,54.06457266000008,810.5633082458785,2981,85.7304
2981_2,0.05840000000000001,43.318344209999964,741.7524693493143,2981,85.7304
2981_3,0.038899999999999935,31.16051298499991,801.0414649100247,2981,85.7304
2981_4,0.06950000000000012,66.74364961000022,960.3402821582749,2981,85.7304
2989_1,0.07490000000000019,99.6081088150002,1329.8812925901193,2989,83.916
2989_2,0.06390000000000007,80.63712187499995,1261.9267899061012,2989,83.916
2989_3,0.09450000000000003,86.8213950899999,918.7449215873003,2989,83.916
2989_4,0.06659999999999999,79.0003445249999,1186.191359234233,2989,83.916
2989_5,0.08339999999999992,107.08446981499993,1283.9864486211036,2989,83.916
2990_2,0.08050000000000002,72.9561721400001,906.2878526708085,2990,83.0088
2990_3,0.061100000000000154,71.25215103500025,1166.1563180851076,2990,83.0088
2990_4,0.10829999999999995,92.8617001649998,857.4487549861482,2990,83.0088
2990_5,0.08889999999999998,79.24703598999992,891.4177276715403,2990,83.0088
2993_1,0.08889999999999976,120.55063904999963,1356.0251861642291,2993,97.0704
2993_2,0.04170000000000007,69.5008168700002,1666.6862558753016,2993,97.0704
2993_3,0.1028,120.79142579499992,1175.0138696011666,2993,97.0704
2993_4,0.0777000000000001,89.47322389999998,1151.5215431145414,2993,97.0704
2996_1,0.05830000000000024,67.3471589350003,1155.1828290737567,2996,103.8744
2996_2,0.06940000000000013,104.99449282500008,1512.8889456051857,2996,103.8744
2996_3,0.061000000000000165,96.78742462500013,1586.6790922131127,2996,103.8744
2996_4,0.07219999999999982,122.34803437499971,1694.5711132271472,2996,103.8744
2999_1,0.10830000000000006,110.10444988500016,1016.6615871191145,2999,96.1632
2999_2,0.08050000000000002,75.42570193499988,936.9652414285697,2999,96.1632
2999_3,0.09450000000000003,85.30320103000012,902.679375978837,2999,96.1632
2999_4,0.09720000000000018,87.73000363500029,902.572053858026,2999,96.1632
2999_5,0.09440000000000004,79.86930553999998,846.0731519067791,2999,96.1632
3034_1,0.10549999999999993,87.96692514999991,833.8097170616111,3034,93.8952
3034_2,0.08610000000000007,65.07878707500008,755.85118554007,3034,93.8952
3034_3,0.08339999999999992,69.60775705000002,834.625384292567,3034,93.8952
3034_4,0.08340000000000014,65.0359822400001,779.8079405275778,3034,93.8952
3034_5,0.10270000000000001,75.33959951000014,733.589089678677,3034,93.8952
