session_pitch,pitcher,pkh_time,fp_poi_time,pkh_fp_duration,pelvis_angle_z_pkh,pelvis_angle_z_fp,zero_crossing_count,first_zero_crossing_from_fp,stable_zero_crossing_from_fp,stable_zero_crossing_phase_pct,pitch_speed_mph
2996_1,2996,0.6417,1.25,0.6083,-37.4965,48.3174,1,-0.198100519930676,-0.198100519930676,67.43374651805425,88.9
2996_2,2996,0.6056,1.2333,0.6277,-42.4002,55.5903,1,-0.1455689145793193,-0.1455689145793193,76.80915810429835,89.4
2996_3,2996,0.6083,1.2417,0.6334000000000001,-40.0039,55.7909,1,-0.13822690997566922,-0.13822690997566922,78.176995583254,88.7
2996_4,2996,0.5861,1.1806,0.5945000000000001,-42.7452,45.5188,1,-0.10668526582278481,-0.10668526582278481,82.0546230743844,86.3
2999_1,2999,0.525,1.2639,0.7389,-32.6198,35.3031,1,-0.05906224631184287,-0.05906224631184287,92.0067334806005,84.1
2999_2,2999,0.6472,1.3639,0.7166999999999999,-34.4128,29.5362,1,-0.04729218468291907,-0.04729218468291907,93.40139742110797,84.3
2999_3,2999,0.5306,1.1694,0.6388,-29.1323,21.3121,1,-0.036307782608695716,-0.036307782608695716,94.31625193977838,84.4
2999_4,2999,0.4667,1.25,0.7833,-31.9679,23.9076,1,-0.04523462999819072,-0.04523462999819072,94.22512064366262,83.4
2999_5,2999,0.4861,1.1917,0.7056,-33.0868,17.9263,1,-0.032705058668117015,-0.032705058668117015,95.36492932708093,83.8
3034_1,3034,0.75,1.4333,0.6833,-5.9322,28.4966,1,-0.09689774614472113,-0.09689774614472113,85.8191502788349,80.9
3034_2,3034,0.6806,1.3972,0.7166,-11.9054,29.898,1,-0.09636648980731644,-0.09636648980731644,86.5522620977789,81.4
3034_3,3034,0.6278,1.3056,0.6778000000000001,-13.5718,33.6582,1,-0.1072007186489401,-0.1072007186489401,84.18401908395691,80.3
3034_4,3034,0.6583,1.2972,0.6388999999999999,-12.651,30.9088,1,-0.15660647820965834,-0.15660647820965834,75.48810796530626,79.8
3034_5,3034,0.6222,1.2417,0.6195,-11.2334,25.6224,1,-0.14655926589077883,-0.14655926589077883,76.34232996113336,79.9
3035_1,3035,0.7611,1.3694,0.6083,-31.8405,51.0134,1,-0.12748537508602875,-0.12748537508602875,79.04235162156358,86.9
3035_2,3035,0.8167,1.4194,0.6027,-33.698,48.4713,1,-0.12136829370045898,-0.12136829370045898,79.86256948723096,86.1
3035_3,3035,0.7083,1.2944,0.5861,-32.3081,49.6116,1,-0.1289591065292095,-0.1289591065292095,77.99708129513573,85.2
3035_4,3035,0.7639,1.3889,0.625,-30.6033,52.4617,1,-0.12193880176211458,-0.12193880176211458,80.48979171806167,86.7
3035_5,3035,0.7833,1.4139,0.6305999999999999,-32.5819,54.4441,1,-0.13616655942806055,-0.13616655942806055,78.40682533649532,85.3
3036_1,3036,0.6361,1.1861,0.5499999999999999,-25.582,49.9774,1,-0.08810379414732594,-0.08810379414732594,83.98112833684984,86.1
3036_2,3036,0.625,1.1556,0.5306,-27.4545,46.7556,1,-0.07555843325339717,-0.07555843325339717,85.75981280561682,86.4
3036_3,3036,0.5639,1.1806,0.6167000000000001,-29.4889,58.7767,1,-0.08905258259325066,-0.08905258259325066,85.55982121075877,87.2
3036_4,3036,0.5389,1.0917,0.5527999999999998,-26.7607,37.6603,1,-0.05818358286009273,-0.05818358286009273,89.47474984441158,87.6
3037_1,3037,0.9167,1.6,0.6833000000000001,-47.5781,33.4957,1,-0.0658239028838481,-0.0658239028838481,90.36676381035444,89.5
3037_2,3037,1.7861,2.4639,0.6778000000000002,-41.6217,37.6508,1,-0.07364096279121135,-0.07364096279121135,89.1352961358496,88.7
3037_3,3037,0.6889,1.375,0.6861,-52.455,26.5911,1,-0.0471326514303978,-0.0471326514303978,93.13035250978024,88.9
3037_4,3037,1.0139,1.6861,0.6721999999999999,-50.401,44.5756,1,-0.07236553487257336,-0.07236553487257336,89.23452322633541,88.8
3037_5,3037,1.0806,1.6917,0.6111,-46.9921,39.8089,1,-0.07031028529892769,-0.07031028529892769,88.49447139601904,88.6
3043_1,3043,0.7306,1.3611,0.6305,-15.6129,34.3465,1,-0.0725117357695011,-0.0725117357695011,88.49932818881823,87.9
3043_2,3043,0.9472,1.5333,0.5861000000000001,-13.9562,33.1292,1,-0.07568870558375651,-0.07568870558375651,87.08604238461756,86.9
3043_3,3043,0.7361,1.3806,0.6445000000000001,-19.6306,36.3533,1,-0.07669958368026641,-0.07669958368026641,88.0993663800983,87.0
3043_4,3043,0.7611,1.3639,0.6027999999999999,-22.1215,36.2104,1,-0.07542850467289708,-0.07542850467289708,87.48697666342119,87.5
3043_5,3043,0.7167,1.3472,0.6305,-22.2431,40.7507,1,-0.08653928308372194,-0.08653928308372194,86.27449911439778,86.9
3044_1,3044,0.875,1.4667,0.5916999999999999,-35.7592,15.8568,1,-0.04309352640545128,-0.04309352640545128,92.71699739640844,87.1
3044_2,3044,0.9694,1.5389,0.5694999999999999,-37.256,16.5968,1,-0.04611146521570153,-0.04611146521570153,91.90316677511825,87.3
3044_3,3044,0.8944,1.4778,0.5834,-44.4328,21.8931,1,-0.05730520534861516,-0.05730520534861516,90.17737309759768,87.8
3044_4,3044,1.2361,1.7972,0.5610999999999999,-39.4479,11.5627,1,-0.0296838060479665,-0.0296838060479665,94.70971198574826,87.8
3044_5,3044,1.3472,1.9139,0.5667,-45.099,5.3531,1,-0.0137709279171645,-0.0137709279171645,97.5699791923126,87.8
3046_1,3046,0.6639,1.2278,0.5639,-36.6704,17.1137,1,-0.026905396352809863,-0.026905396352809863,95.22869367745879,82.1
3046_2,3046,0.8083,1.3472,0.5388999999999999,-35.5254,16.8363,1,-0.028347074726188914,-0.028347074726188914,94.73982654923196,81.9
3046_3,3046,0.8639,1.4056,0.5417,-35.9438,25.4724,1,-0.043155646279464,-0.043155646279464,92.03329402262064,81.7
3046_4,3046,0.8417,1.425,0.5833,-33.5202,35.5051,1,-0.056862570117287126,-0.056862570117287126,90.25157378410988,82.3
3053_1,3053,0.5417,1.2222,0.6805,-41.382,20.1495,1,-0.03104532838856322,-0.03104532838856322,95.43786504209211,81.4
3053_2,3053,0.4417,1.1,0.6583000000000001,-40.5377,18.353,1,-0.028186431605283113,-0.028186431605283113,95.71829992324426,81.4
3053_3,3053,0.4028,1.1028,0.7,-43.3067,35.4565,1,-0.051453905390538957,-0.051453905390538957,92.64944208706586,81.6
3053_4,3053,0.4667,1.1806,0.7139000000000001,-44.0889,18.7578,1,-0.02849304715150147,-0.02849304715150147,96.00881816059652,81.3
3053_5,3053,0.5639,1.2917,0.7278000000000001,-41.4381,7.165,1,-0.010884090528080481,-0.010884090528080481,98.5045217741027,80.9
3055_1,3055,0.7167,1.4917,0.775,-31.2596,48.2467,1,-0.31042192716236716,-0.31042192716236716,59.945557785501016,78.8
3055_2,3055,0.7167,1.5056,0.7889,-38.7687,51.42,1,-0.30172914865626765,-0.30172914865626765,61.753181815658806,78.5
3055_3,3055,0.6667,1.4528,0.7861000000000001,-36.3584,51.5439,1,-0.29664262432093613,-0.29664262432093613,62.26400911831369,80.5
3055_4,3055,0.6111,1.3528,0.7417,-39.6892,41.1367,1,-0.2733343002355275,-0.2733343002355275,63.14759333483517,79.3
3055_5,3055,0.8222,1.6,0.7778,-38.9512,51.0131,1,-0.28126878661087873,-0.28126878661087873,63.83790349564429,78.3
3065_1,3065,0.7139,1.3028,0.5889,-41.8666,46.7243,1,-0.07833852082950998,-0.07833852082950998,86.69748330285108,89.2
3065_2,3065,0.5417,1.1417,0.6,-43.0498,46.8441,1,-0.07841740412979337,-0.07841740412979337,86.93043264503444,89.4
3065_3,3065,0.525,1.1139,0.5888999999999999,-41.6472,48.9153,1,-0.08217631482834165,-0.08217631482834165,86.04579473113574,88.9
3065_4,3065,0.4556,1.0722,0.6166,-44.9923,50.5928,1,-0.08756625954198483,-0.08756625954198483,85.79853072624314,89.3
3065_5,3065,0.5833,1.1611,0.5778,-42.0409,48.3854,1,-0.08455951364764269,-0.08455951364764269,85.36526243550662,89.1
3132_1,3132,0.5667,1.3194,0.7526999999999999,-37.5374,30.8059,1,-0.05547841221374039,-0.05547841221374039,92.6294124865497,92.4
3132_2,3132,1.1444,1.9,0.7555999999999998,-41.6479,26.5811,1,-0.0483275922138906,-0.0483275922138906,93.60407726126382,92.2
3132_3,3132,0.5833,1.3528,0.7695,-36.7505,29.1198,1,-0.051523076923077005,-0.051523076923077005,93.30434347978208,92.1
3132_4,3132,0.6556,1.3944,0.7388000000000001,-43.8493,27.2013,1,-0.052148683613254754,-0.052148683613254754,92.941434269998,91.8
3132_5,3132,0.5167,1.2333,0.7166,-46.6332,30.3083,1,-0.059881659238944174,-0.059881659238944174,91.64364230547807,91.9
3140_1,3140,0.4472,1.0028,0.5555999999999999,-47.001,33.2533,1,-0.047069692931633766,-0.047069692931633766,91.5281330216642,84.9
3140_2,3140,0.4444,0.9528,0.5084,-44.589,23.2362,1,-0.03830424229171214,-0.03830424229171214,92.46572732263726,84.5
3140_3,3140,0.4111,0.9361,0.525,-39.329,47.8773,1,-0.0842907319185795,-0.0842907319185795,83.94462249169914,85.8
3140_4,3140,0.4333,0.9694,0.5361,-42.9623,34.3477,1,-0.051878429579305,-0.051878429579305,90.32299392290525,84.3
3140_5,3140,0.425,0.9667,0.5417000000000001,-49.3201,35.5268,1,-0.05842550351288056,-0.05842550351288056,89.21441692581122,84.4
3172_1,3172,1.0583,1.8417,0.7833999999999999,-48.9276,50.184,1,-0.13623839364518964,-0.13623839364518964,82.60934469681011,78.3
3172_2,3172,0.7778,1.5667,0.7888999999999999,-51.9919,38.0825,1,-0.09255591143911435,-0.09255591143911435,88.26772576510149,79.2
3172_3,3172,0.6028,1.3722,0.7694000000000001,-47.7138,46.1383,1,-0.11922544378698241,-0.11922544378698241,84.5041014053831,78.2
3172_4,3172,1.0667,1.8361,0.7694000000000001,-54.611,40.0065,1,-0.10590032540166772,-0.10590032540166772,86.23598578091139,78.8
3172_5,3172,0.8694,1.6056,0.7362,-49.4218,41.3143,1,-0.11526370619299087,-0.11526370619299087,84.3434248583278,77.4
3222_1,3222,0.5472,1.1194,0.5721999999999999,-37.5602,26.9573,1,-0.05559168383389346,-0.05559168383389346,90.28457115800533,77.8
3222_2,3222,0.5028,1.0861,0.5833,-28.5905,35.0038,1,-0.06762191574183829,-0.06762191574183829,88.40700913049233,77.1
3222_3,3222,0.4722,1.0,0.5278,-34.084,31.3088,1,-0.05576899939146307,-0.05576899939146307,89.43368711794939,77.9
3222_4,3222,0.4333,0.9917,0.5584,-27.7285,32.6615,1,-0.05596663764582965,-0.05596663764582965,89.97732133849755,77.2
3222_5,3222,0.4778,1.0056,0.5278,-38.0837,22.0444,1,-0.04010206859837251,-0.04010206859837251,92.40203323259331,78.1
3228_1,3228,0.7694,1.4028,0.6334000000000001,-43.3868,19.8393,1,-0.05007074872112849,-0.05007074872112849,92.09492442040914,90.6
3228_2,3228,0.6472,1.3028,0.6556,-46.1798,30.5626,1,-0.0663410646387832,-0.0663410646387832,89.88086262373655,91.1
3228_3,3228,0.7889,1.45,0.6610999999999999,-40.7167,33.215,1,-0.0689810105425559,-0.0689810105425559,89.56572219897808,92.0
3228_4,3228,0.9139,1.6028,0.6889,-46.088,41.434,1,-0.08607590361445783,-0.08607590361445783,87.5053122928643,90.6
3228_5,3228,1.0722,1.725,0.6528,-36.252,22.4878,1,-0.05992313117066295,-0.05992313117066295,90.82059877900383,90.8
3232_1,3232,1.475,2.0694,0.5943999999999998,-56.7353,40.7154,1,-0.1664192192192191,-0.1664192192192191,72.00215019865088,82.8
