player_id,player_name,statsapi_name,position,height_raw,height_in,ff_pitch_count,fastball_velocity_mph,extension_ft
664129,"Hartlieb, Geoff",Geoff Hartlieb,Pitcher,"6' 5""",77.0,26,94.9,6.37
680694,"Bradish, Kyle",Kyle Bradish,Pitcher,"6' 3""",75.0,112,94.4,6.36
571760,"Heaney, Andrew",Andrew Heaney,Pitcher,"6' 2""",74.0,909,90.1,6.36
682842,"Uribe, Abner",Abner Uribe,Pitcher,"6' 3""",75.0,25,99.8,6.36
670970,"Morejon, Adrian",Adrian Morejon,Pitcher,"5' 11""",71.0,32,96.5,6.36
663969,"Phillips, Tyler",Tyler Phillips,Pitcher,"6' 5""",77.0,99,94.7,6.36
676742,"Sanders, Cam",Cam Sanders,Pitcher,"6' 2""",74.0,77,95.7,6.36
691172,"Zulueta, Yosver",Yosver Zulueta,Pitcher,"6' 1""",73.0,26,98.0,6.36
692230,"Rodriguez, Carlos",Carlos Rodriguez,Pitcher,"5' 11""",71.0,54,93.9,6.35
615698,"Quantrill, Cal",Cal Quantrill,Pitcher,"6' 3""",75.0,301,93.7,6.35
592351,"Gray, Jon",Jon Gray,Pitcher,"6' 4""",76.0,99,94.8,6.35
672710,"Contreras, Roansy",Roansy Contreras,Pitcher,"6' 1""",73.0,83,95.2,6.35
672456,"Montero, Keider",Keider Montero,Pitcher,"6' 1""",73.0,453,93.9,6.35
693645,"Schlittler, Cam",Cam Schlittler,Pitcher,"6' 6""",78.0,700,98.0,6.35
686751,"Johnson, Seth",Seth Johnson,Pitcher,"6' 1""",73.0,110,97.2,6.35
670810,"Gillaspie, Logan",Logan Gillaspie,Pitcher,"6' 2""",74.0,39,94.9,6.34
608665,"Graveman, Kendall",Kendall Graveman,Pitcher,"6' 2""",74.0,52,94.2,6.34
663432,"Rainey, Tanner",Tanner Rainey,Pitcher,"6' 3""",75.0,106,95.3,6.34
671131,"Rutledge, Jackson",Jackson Rutledge,Pitcher,"6' 8""",80.0,250,95.6,6.34
671096,"Abbott, Andrew",Andrew Abbott,Pitcher,"6' 0""",72.0,1263,92.8,6.33
672282,"Detmers, Reid",Reid Detmers,Pitcher,"6' 2""",74.0,492,95.8,6.33
676130,"Buttó, José",José Buttó,Pitcher,"6' 0""",72.0,335,95.2,6.33
671106,"Allen, Logan",Logan Allen,Pitcher,"6' 0""",72.0,900,91.2,6.32
608032,"Estévez, Carlos",Carlos Estévez,Pitcher,"6' 6""",78.0,558,95.9,6.32
683409,"Chivilli, Angel",Angel Chivilli,Pitcher,"6' 2""",74.0,469,97.1,6.32
657006,"Steele, Justin",Justin Steele,Pitcher,"6' 2""",74.0,177,90.8,6.32
605135,"Bassitt, Chris",Chris Bassitt,Pitcher,"6' 5""",77.0,264,91.5,6.32
695534,"Petty, Chase",Chase Petty,Pitcher,"6' 1""",73.0,37,96.5,6.31
608650,"Enns, Dietrich",Dietrich Enns,Pitcher,"6' 1""",73.0,340,94.0,6.31
593958,"Rodriguez, Eduardo",Eduardo Rodriguez,Pitcher,"6' 2""",74.0,1207,92.0,6.31
674370,"Bido, Osvaldo",Osvaldo Bido,Pitcher,"6' 3""",75.0,523,94.5,6.31
687922,"Lucas, Easton",Easton Lucas,Pitcher,"6' 4""",76.0,218,93.8,6.3
683627,"Molina, Anthony",Anthony Molina,Pitcher,"6' 1""",73.0,270,95.6,6.3
678906,"Teng, Kai-Wei",Kai-Wei Teng,Pitcher,"6' 4""",76.0,143,93.2,6.3
694462,"Waldrep, Hurston",Hurston Waldrep,Pitcher,"6' 2""",74.0,23,95.2,6.3
608334,"Fulmer, Carson",Carson Fulmer,Pitcher,"6' 0""",72.0,114,92.7,6.3
681911,"Vesia, Alex",Alex Vesia,Pitcher,"6' 1""",73.0,588,92.7,6.3
666157,"Lodolo, Nick",Nick Lodolo,Pitcher,"6' 6""",78.0,689,93.9,6.3
554431,"Matzek, Tyler",Tyler Matzek,Pitcher,"6' 3""",75.0,76,94.5,6.29
702070,"Cameron, Noah",Noah Cameron,Pitcher,"6' 3""",75.0,571,92.3,6.29
678022,"Perkins, Jack",Jack Perkins,Pitcher,"6' 1""",73.0,267,96.0,6.29
669684,"Murphy, Chris",Chris Murphy,Pitcher,"6' 1""",73.0,179,94.3,6.29
679885,"Martinez, Justin",Justin Martinez,Pitcher,"6' 3""",75.0,71,100.0,6.29
663462,"Campbell, Isaiah",Isaiah Campbell,Pitcher,"6' 4""",76.0,20,96.0,6.28
682243,"Miller, Bryce",Bryce Miller,Pitcher,"6' 2""",74.0,638,94.8,6.28
820862,"Fermin, José",José Fermin,Pitcher,"6' 3""",75.0,304,96.8,6.28
702056,"Yesavage, Trey",Trey Yesavage,Pitcher,"6' 4""",76.0,108,94.7,6.27
660853,"De Los Santos, Enyel",Enyel De Los Santos,Pitcher,"6' 3""",75.0,540,96.2,6.27
641793,"Littell, Zack",Zack Littell,Pitcher,"6' 4""",76.0,667,92.1,6.27
595345,"Okert, Steven",Steven Okert,Pitcher,"6' 2""",74.0,435,92.0,6.27
606303,"Payamps, Joel",Joel Payamps,Pitcher,"6' 3""",75.0,162,94.7,6.26
663568,"Kolek, Stephen",Stephen Kolek,Pitcher,"6' 3""",75.0,433,94.0,6.26
657649,"Koenig, Jared",Jared Koenig,Pitcher,"6' 5""",77.0,14,96.5,6.26
671305,"Otañez, Michel",Michel Otañez,Pitcher,"6' 4""",76.0,51,97.4,6.26
672391,"Ort, Kaleb",Kaleb Ort,Pitcher,"6' 4""",76.0,428,96.4,6.26
829272,"Ogasawara, Shinnosuke",Shinnosuke Ogasawara,Pitcher,"5' 11""",71.0,261,91.1,6.26
