session_pitch,fp_mer_duration_s,fp_mer_positive_energy_j,fp_mer_net_energy_j,fp_mer_positive_mean_power_w,fp_mer_negative_energy_j,fp_br_duration_s,fp_br_positive_energy_j,fp_br_net_energy_j,fp_br_positive_mean_power_w,fp_br_negative_energy_j,mer_share_of_fp_br,official_fp_br_j,session,session_mass_kg
1668_2,0.0915999999999999,268.87550727999985,268.87550727999985,2935.3221318777305,0.0,0.125,285.95578778499987,263.51362936499964,2287.646302279999,22.442158420000226,0.9402695058655638,285.9558,1668,81.648
1668_3,0.1028,287.06637242,287.06637242,2792.474439883268,0.0,0.1360999999999999,302.0997168049999,277.549761865,2219.6893225936824,24.549954939999907,0.9502371450592797,302.0997,1668,81.648
1688_1,0.1111000000000002,441.2735762200003,441.2735762200003,3971.859371917187,0.0,0.14170000000000016,451.6135653550001,420.581735235,3187.110552964006,31.03183012000011,0.9771043433408121,451.6136,1688,106.596
1688_2,0.09730000000000016,430.8088873700003,430.8088873700003,4427.635019218907,0.0,0.12780000000000014,438.5333981050002,398.1165441750001,3431.4037410406863,40.41685393000006,0.9823855816492446,438.5334,1688,106.596
1717_1,0.09719999999999995,223.1406759049999,223.1406759049999,2295.6859661008234,0.0,0.13060000000000005,240.29237676000002,233.02538119000005,1839.9110012251144,7.2669955699999775,0.9286215356214528,240.2924,1717,103.4208
1717_3,0.09450000000000003,203.81959015500004,203.81959015500004,2156.8210598412697,0.0,0.125,216.827340585,210.88625685499997,1734.61872468,5.941083730000031,0.9400087166364488,216.8273,1717,103.4208
1718_1,0.08889999999999998,337.3819599449998,337.3819599449998,3795.072665298086,0.0,0.12220000000000009,377.92512097000014,374.4159006850001,3092.676931014729,3.5092202850000263,0.8927217092080558,377.9251,1718,97.524
1718_2,0.09999999999999987,345.7476471449998,345.7476471449998,3457.4764714500025,0.0,0.13329999999999997,385.23727109499987,383.04834169499986,2890.00203372093,2.1889294000000064,0.8974927222442558,385.2373,1718,97.524
1718_3,0.0889000000000002,335.50705761500046,335.50705761500046,3773.9826503374543,0.0,0.125,383.7118227900001,381.18862406500017,3069.694582320001,2.5231987249999293,0.8743724787406892,383.7118,1718,97.524
1729_1,0.11390000000000011,407.361151565,407.361151565,3576.4806985513574,0.0,0.14720000000000022,423.8119681300001,387.3876180899997,2879.157392187496,36.42435004000038,0.9611836904050006,423.812,1729,105.6888
1729_2,0.11660000000000004,413.5082812500001,413.5082812500001,3546.3832011149225,0.0,0.1472,429.57099238500007,397.47625811500006,2918.2811982676635,32.094734270000004,0.9626075516742437,429.571,1729,105.6888
1729_3,0.11109999999999975,410.12150007499963,410.12150007499963,3691.462646939699,0.0,0.14159999999999973,419.51995182999985,387.48756402500015,2962.7115242231685,32.0323878049997,0.9775971280650587,419.52,1729,105.6888
