session,session_mass_kg,pitch_n,fp_br_duration_s,stp_j,jfp_j,reconstructed_total_j,official_total_j,duration_sum_s,stp_sum_j,jfp_sum_j,reconstructed_total_sum_j,stp_mean_power_w,jfp_mean_power_w,total_mean_power_w
3043,107.0496,5,0.14778000000000002,197.810068136,234.69966155999995,432.50972969599997,432.4734,0.7389000000000001,989.0503406800001,1173.4983077999998,2162.54864848,1338.5442423602651,1588.1693162809577,2926.713558641223
3044,114.7608,5,0.16110000000000008,221.782202435,201.52229834500002,423.30450078,470.63248000000004,0.8055000000000003,1108.911012175,1007.6114917250002,2116.5225039,1376.6741305710732,1250.914328646803,2627.5884592178763
3046,78.9264,4,0.150675,131.86175372124998,151.87866322125,283.74041694249996,297.894,0.6027,527.4470148849999,607.514652885,1134.9616677699998,875.1402271196282,1007.9884733449478,1883.1287004645758
3053,93.8952,5,0.14221999999999996,163.249678166,108.42224150899997,271.6719196749999,298.36758,0.7110999999999998,816.24839083,542.1112075449998,1358.3595983749997,1147.867235030235,762.3557974194908,1910.2230324497257
3055,93.4416,5,0.1472199999999999,129.28322519799997,157.67503381900005,286.958259017,295.88904,0.7360999999999995,646.4161259899998,788.3751690950003,1434.791295085,878.1634641896485,1071.016395999186,1949.1798601888343
3065,82.5552,5,0.12720000000000004,144.78107099500002,155.74652781600003,300.5275988110001,313.37144,0.6360000000000001,723.9053549750001,778.7326390800001,1502.6379940550003,1138.2159669418238,1224.422388490566,2362.6383554323897
3132,97.9776,5,0.13503999999999997,182.33521130600002,179.58022237200012,361.9154336780001,397.60774000000004,0.6751999999999998,911.6760565300001,897.9011118600006,1809.5771683900007,1350.2311263773702,1329.8298457642193,2680.0609721415894
3140,83.916,5,0.12666000000000002,160.105347831,159.31789240799998,319.42324023899994,332.29622,0.6333000000000001,800.526739155,796.58946204,1597.1162011949998,1264.0561174088107,1257.839036854571,2521.8951542633818
3172,73.4832,5,0.13388,75.332436005,167.66767174,243.000107745,246.502,0.6694,376.662180025,838.3383587000001,1215.000538725,562.6862563863161,1252.3728095309234,1815.0590659172394
3222,87.5448,5,0.12719999999999998,127.63330629199997,143.81483766099996,271.44814395299994,275.14921999999996,0.6359999999999999,638.1665314599999,719.0741883049998,1357.2407197649998,1003.4064960062892,1130.6197929323898,2134.026288938679
3228,93.8952,5,0.15663999999999997,231.24806010499998,164.401210251,395.649270356,413.82474,0.7831999999999999,1156.2403005249998,822.0060512550001,1978.24635178,1476.3027330503064,1049.548073614658,2525.8508066649647
3232,85.2768,5,0.11777999999999995,152.5885475139999,164.48811067599996,317.0766581899999,329.9372,0.5888999999999998,762.9427375699995,822.4405533799999,1585.3832909499993,1295.5386951434875,1396.570815724232,2692.1095108677196
3233,80.7408,5,0.14782,127.996165837,125.74612558400004,253.74229142100003,296.73282,0.7391000000000001,639.9808291850001,628.7306279200002,1268.7114571050001,865.8920703355432,850.6705830334191,1716.5626533689622
3247,87.9984,5,0.14054000000000005,165.057076222,160.40618653899992,325.4632627609999,340.74058,0.7027000000000003,825.28538111,802.0309326949996,1627.3163138049995,1174.4490979222992,1141.3561017432748,2315.805199665574
3248,81.1944,5,0.13054000000000004,184.47568983400004,165.31269723399993,349.78838706799996,359.6602,0.6527000000000003,922.3784491700002,826.5634861699997,1748.9419353399999,1413.1736619733413,1266.375802313466,2679.5494642868075
3250,83.4624,4,0.16110000000000002,175.31242042374998,221.76941187374996,397.08183229749994,406.34000000000003,0.6444000000000001,701.2496816949999,887.0776474949998,1588.3273291899998,1088.22110753414,1376.5947354050274,2464.8158429391674
3252,88.452,5,0.15222000000000002,167.585197985,210.41572972100002,378.00092770599997,378.2556,0.7611000000000001,837.9259899250001,1052.0786486050001,1890.00463853,1100.9407304230717,1382.3132947116017,2483.254025134673
