session_pitch,eligible_final_A_to_T,run_pattern,switch_count,final_t_start_time,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer,stp_positive_fp_br_j,stp_active_duration_s,stp_active_mean_power_w,stp_positive_fp_mer_j,stp_before_final_t_j,stp_after_final_t_j,stp_after_final_t_share,session,session_mass_kg
2853_5,True,A->T->A->T,3,1.5167,0.8850415512465363,13.900000000000023,False,138.99513423,0.13190000000000002,1053.79176823351,129.3128915399999,138.37066607,0.6244681600000238,0.004492733961224103,2853,89.3592
2857_1,True,A->T->A->T,3,1.4944,0.8596112311015114,16.599999999999948,False,116.05332222999999,0.12919999999999998,898.2455280959753,103.9232708,114.51843012999997,1.5348921000000193,0.013225748910126822,2857,69.4008
2857_2,True,A->T->A->T,3,1.5528,0.8774478837650027,16.69999999999994,False,122.72720176000003,0.1583000000000001,775.2823863550218,110.13388549500003,120.15394158000002,2.5732601800000228,0.020967317294760604,2857,69.4008
2857_3,True,A->T,1,1.375,0.8513409961685818,16.69999999999994,False,109.24259914999996,0.12770000000000015,855.4627967893488,97.91631965500002,107.53350851499997,1.7090906349999981,0.015644910028671712,2857,69.4008
2857_4,True,A->T->A->T,3,1.3361,0.8520000000000002,16.70000000000016,False,123.84535346000004,0.15000000000000013,825.6356897333329,107.59466687999992,121.15592023500005,2.689433224999968,0.02171606079568104,2857,69.4008
2857_5,True,A->T->A->T,3,1.4639,0.860331173506119,19.50000000000007,False,117.36263935999996,0.13890000000000002,844.943407919366,102.31021442999986,114.70412513499997,2.6585142250000042,0.022652133928628148,2857,69.4008
2859_1,True,A->T->A->T,3,1.4306,0.6727748691099484,-13.799999999999812,True,191.20316885999998,0.13749999999999984,1390.5685008000014,162.76893939499973,120.85061609500028,70.35255276499971,0.36794658364952226,2859,93.8952
2859_2,True,A->T->A->T,3,1.5111,0.627381792519408,-16.69999999999994,True,177.54572336000007,0.12085000000000012,1469.1412772858907,157.82730133000015,107.48493053000038,70.06079282999968,0.3946070426486203,2859,93.8952
2859_3,True,A->T->A->T,3,1.4972,0.6784565916398725,-13.900000000000023,True,191.29340132000004,0.14300000000000013,1337.7160931468522,157.35476465000033,114.44019461000028,76.85320670999975,0.40175566004724816,2859,93.8952
2859_4,True,A->T->A->T,3,1.4194,0.6468926553672312,-11.200000000000099,True,181.22276624499995,0.12639999999999996,1433.7244164952533,146.21535382000025,112.62196671999993,68.60079952500001,0.3785440480047454,2859,93.8952
2859_5,True,A->T->A->T,3,1.4139,0.6156509695290854,-19.400000000000084,True,194.362919465,0.12640000000000007,1537.6813248813282,172.4745473800001,113.8828468449998,80.48007262000019,0.414071124479547,2859,93.8952
2860_1,True,T->A->T,2,1.5944,0.7245724572457248,0.0,True,170.73485505499997,0.11109999999999998,1536.7673722322234,137.23047175500008,137.23047175500008,33.50438329999989,0.19623634136806392,2860,78.9264
2860_2,True,T->A->T,2,1.6417,0.7322212467076382,0.0,True,171.45125801,0.11389999999999989,1505.2788236172096,139.81047442999983,139.81047442999983,31.640783580000157,0.18454681492132702,2860,78.9264
