session_pitch,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp,session,session_mass_kg
2761_2,0.08329999999999993,246.19141672999982,110.35590144499993,135.83551528499993,-5.684341886080802e-14,110.35590144499993,0.0,135.83551528499993,0.0,515.1610681908763,4.297215632553016,-0.4883120121851336,-0.4836602688518854,2697.1905394015425,0.45161290322580644,0.5483870967741935,892.8306,18.9286,15.6154,2761,88.9056
2761_3,0.10000000000000009,263.60970934500034,124.62697618000014,138.98273316500018,0.0,124.62697618000014,0.0,139.0216535850002,-0.0389204199999988,518.3672028475924,4.071920668905476,-0.3777099184592016,-0.9150833368830242,2322.4061270918955,0.35135135135135137,0.6486486486486487,912.971,22.1352,20.8204,2761,88.9056
2761_4,0.09169999999999989,266.57820737499986,117.49604996999994,149.08215740499995,-2.842170943040401e-14,117.49604996999994,0.0,149.08215740499995,0.0,503.88550951420524,4.2821132964194755,-0.4247795319073399,-0.7165493472546252,2597.1195401373348,0.3235294117647059,0.6764705882352942,908.9085,19.4437,17.0008,2761,88.9056
2761_5,0.08610000000000007,261.2531509000002,113.36439152000013,147.8887593800001,-2.842170943040401e-14,113.36439152000013,0.0,147.8887593800001,0.0,516.928431929935,4.355547169682368,-0.4829744811247196,-0.21202493213598264,2785.980916816301,0.375,0.625,960.9768,19.1038,15.29,2761,88.9056
2806_1,0.10279999999999989,224.11666329499997,105.00581800499991,119.11084529000001,4.263256414560601e-14,105.00581800499991,0.0,119.13584551000002,-0.025000219999999226,482.35285851693584,4.027114043101513,-0.09508149020763998,0.1914735760849476,1611.711213240963,0.6052631578947368,0.39473684210526316,1009.5098,23.0541,19.5542,2806,82.1016
2806_2,0.09170000000000011,221.35397623500012,102.20080207000011,119.15317416500002,-1.4210854715202004e-14,102.20080207000011,0.0,119.15317416500002,0.0,512.9350810776815,4.110458209780499,-0.140419837084647,0.2628523301074332,1809.635401726049,0.5882352941176471,0.4117647058823529,1008.9438,23.8995,19.4527,2806,82.1016
2806_3,0.10280000000000011,231.91293496500018,110.33453057000013,121.57840439500005,0.0,110.33453057000013,0.0,121.57840439500005,0.0,500.84641405118475,3.9162485747619926,-0.08985619347393352,-0.045126246776660855,1646.3159613488563,0.5,0.5,1011.153,23.3644,20.2052,2806,82.1016
2806_4,0.09999999999999998,224.84788322999998,108.398235425,116.44964780499997,1.4210854715202004e-14,108.398235425,0.0,116.44964780499997,0.0,489.9087035710452,3.9561355373753306,-0.08697050017693986,0.10555501351997518,1572.0759105938741,0.5405405405405406,0.4594594594594595,989.6901,21.1409,17.1775,2806,82.1016
2806_5,0.09719999999999995,231.15685713499994,111.80918938499995,119.34766774999996,2.842170943040401e-14,111.80918938499995,0.0,119.34766774999996,0.0,512.0206911943395,4.024633617112852,-0.11118808285247818,0.13798045046454127,1698.9164841505321,0.8055555555555556,0.19444444444444445,994.3685,21.5764,15.2924,2806,82.1016
2811_1,0.18330000000000002,254.4464370349999,115.31879702999993,139.12764000500002,-5.684341886080802e-14,115.31879702999993,0.0,139.850605235,-0.7229652299999919,296.14433312191636,3.5072690113502545,0.037399356098858305,0.19556077862381688,833.9149172646141,0.21153846153846154,0.7884615384615384,1049.6915,44.8331,31.9102,2811,85.2768
2811_2,0.18059999999999987,249.79576201999993,107.83275857499993,141.963003445,0.0,107.85128365499993,-0.018525079999999867,142.099519965,-0.13651651999999578,292.44379612409784,3.5722651717722274,0.031011867030595476,0.13094953380198604,861.0937115565114,0.1276595744680851,0.8723404255319149,1074.9997,44.8,35.07,2811,85.2768
2811_3,0.1806000000000001,259.93595013500004,116.04177225000004,143.894177885,0.0,116.25796131500005,-0.21618906500000032,143.894177885,0.0,283.5584075603955,3.5927364979675183,0.027486234648814334,0.021704351225454915,869.1146826647788,0.10416666666666667,0.8958333333333334,1096.0412,43.1511,35.0168,2811,85.2768
2811_4,0.18059999999999987,248.17301894,107.93094505499991,140.24207388500005,2.842170943040401e-14,107.93094505499991,0.0,141.771555295,-1.5294814099999632,302.6119388471755,3.60971155399581,0.02747133548232708,0.1799721978716893,885.0399153232909,0.15384615384615385,0.8461538461538461,1068.0115,45.4415,36.9778,2811,85.2768
2811_5,0.18049999999999988,237.99173143,100.82614728499993,137.16558414500003,2.842170943040401e-14,101.07153871999995,-0.24539143499999871,138.06749460499998,-0.9019104599999742,291.38361068832756,3.5708556304716974,0.0873982282503232,0.16188825168641577,842.4956629278722,0.10869565217391304,0.8913043478260869,1071.2733,45.244,36.7936,2811,85.2768
2812_1,0.12219999999999986,256.4464059449999,72.77583364499998,183.67057229999995,0.0,72.77583364499998,0.0,183.67057229999995,0.0,425.7979801588283,4.97277916864666,-0.3693091524088111,-0.7751143808352509,2477.5394571815787,0.2222222222222222,0.7777777777777778,1073.851,40.0662,37.4454,2812,76.2048
2812_2,0.11940000000000017,262.348580135,81.624016615,180.72456352000006,-5.684341886080802e-14,81.624016615,0.0,181.04373456000005,-0.31917104000000907,446.3878546687785,4.884704177681594,-0.3115047966701693,-0.8698802032740757,2467.613126950539,0.18181818181818182,0.8181818181818182,1062.2459,37.923,35.4982,2812,76.2048
2812_3,0.11670000000000003,253.68976948500003,72.52162927500002,181.16814021,0.0,72.52162927500002,0.0,181.16814021,0.0,430.5406632896059,4.97738313914812,-0.3757773451761221,-0.8345394603999218,2527.238017528581,0.20930232558139536,0.7906976744186046,1052.0874,39.4482,35.7821,2812,76.2048
2812_4,0.12230000000000008,264.19026671499995,81.00187770499998,183.18838900999998,0.0,81.00187770499998,0.0,183.27489738999998,-0.08650838000000419,424.4399641175114,4.914004769346446,-0.3486114893094446,-0.8041262217935837,2391.1773806626597,0.06666666666666667,0.9333333333333333,1058.583,40.4509,36.8433,2812,76.2048
