session,session_mass_kg,pitch_n,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp
2655,94.3488,5,0.09497999999999998,319.21146414099996,119.846261944,199.365202197,-2.842170943040401e-14,119.846261944,0.0,199.38195039700003,-0.016748200000000813,612.5249242066006,4.672486224370485,-0.020553794399211574,0.08571104442907529,2396.8995696098937,0.12652056277056278,0.8734794372294372,1106.24828,31.69882,26.563959999999998
2730,89.8128,4,0.1062249999999999,296.1741927487498,115.3455609362499,180.82863181249994,-2.1316282072803006e-14,115.3455609362499,0.0,180.82863181249994,0.0,475.4821427971469,4.83383764510439,-0.8186839502313412,-0.7993514761641692,3586.373663803641,0.5190835065835065,0.48091649341649345,995.66485,24.41445,21.961624999999998
2734,87.9984,5,0.13108,304.3320664700001,149.668734682,154.663331788,4.5474735088646414e-14,149.668734682,0.0,159.99614038200002,-5.332808594000003,637.2936532684514,4.260868279130297,-0.38558865225751615,-0.8115375290022779,2967.6271408898783,0.3736756215899866,0.6263243784100134,1088.88228,37.74792,37.24104
2742,99.792,5,0.09001999999999995,363.03963310599994,178.58293576399996,184.45669734199998,0.0,178.58293576399996,0.0,184.45669734199998,0.0,745.4049224956077,4.19290995810624,-0.8727568000097834,-0.5695498366493242,4808.822722576224,0.42991734143049937,0.5700826585695007,1061.32248,37.15474,31.91348
2753,84.3696,5,0.11280000000000001,263.48589956,126.4323938,137.05350576,-1.1368683772161604e-14,126.4323938,0.0,137.05350576,0.0,436.54083037825103,4.278626702875163,-0.09705754482224026,-0.5335116622985966,1582.9456859397544,0.7878615995462279,0.212138400453772,887.3994399999999,23.91208,22.78546
2760,82.5552,5,0.10164000000000004,297.1940090450001,116.41130903500004,180.78270001000004,-1.1368683772161604e-14,116.41130903500004,0.0,180.78270001000004,0.0,488.2166666871368,4.759599404995687,-0.41465531282774737,-0.3065533904238748,2822.2741027905545,0.34087305929411194,0.6591269407058882,1054.60008,21.40118,20.72614
2761,88.9056,4,0.090275,259.40812108750004,116.46082977875004,142.94729130875004,-2.842170943040401e-14,116.46082977875004,0.0,142.95702141375006,-0.0097301049999997,513.5855531206522,4.251699191890084,-0.44344398591909867,-0.5818294712813794,2600.6742808617682,0.3753734165854659,0.6246265834145341,918.921725,19.902825,17.18165
2806,82.1016,5,0.09890000000000002,226.67766297200006,107.54971509100001,119.127947881,1.4210854715202004e-14,107.54971509100001,0.0,119.13294792500001,-0.005000043999999845,499.61274968223734,4.006917996426438,-0.1047032207591277,0.13054702468004728,1667.7309942120548,0.607918909621696,0.39208109037830396,1002.7330400000001,22.607059999999997,18.3364
2811,85.2768,5,0.18111999999999995,250.06857991199996,109.59008403899995,140.478495873,0.0,109.68610515499995,-0.09602111599999978,141.136670597,-0.658174723999985,293.22841726838254,3.5705675731115014,0.04215340430218368,0.13801502264187257,858.3317779474135,0.14118130173865603,0.8588186982613439,1072.00344,44.69394,35.15368
2812,76.2048,5,0.12168000000000005,257.575160822,75.860101649,181.71505917300001,-5.684341886080802e-15,75.860101649,0.0,181.945799057,-0.23073988400000492,431.0939118593834,4.939568572706578,-0.34700952738169805,-0.8181582511109864,2448.5187602931846,0.19687144447508453,0.8031285555249156,1053.45994,39.00412,36.175779999999996
2815,97.0704,5,0.11668000000000008,407.37202865500007,167.41383286100003,239.95819579400003,1.1368683772161604e-14,167.41383286100003,0.0,240.40259051100003,-0.44439471700000766,522.6392141481804,4.770982090599131,-0.3926727438633769,-0.8207069909408091,3244.276025206371,0.49532432432432427,0.5046756756756757,972.6341400000001,27.06686,23.06698
2818,96.1632,5,0.09336000000000007,331.38733518600014,155.6117486430001,175.77558654300006,2.2737367544323207e-14,155.6117486430001,0.0,175.77558654300006,0.0,666.9125086537224,4.205686570366616,-0.6681588463916123,-0.4740560345234524,3826.306832871383,0.5731185807656396,0.4268814192343604,951.2899199999999,32.30968,25.69872
2833,83.916,5,0.12553999999999998,331.029711696,159.177634986,171.85207671,0.0,159.177634986,0.0,172.712500287,-0.8604235770000065,545.2555930836307,4.825198233452649,-0.3962821258725041,-0.6872052888725996,2921.871122486108,0.3585624236212854,0.6414375763787146,1134.52754,35.48346,34.67138
2840,84.8232,4,0.09444999999999998,263.21688282624996,128.16296861624997,135.05391421000002,-1.4210854715202004e-14,128.16296861624997,0.0,135.67748766125,-0.6235734512499904,520.1222150256428,4.85794546034928,-0.35620227601572607,0.8321629105122192,2389.149842859074,0.46976716976716976,0.5302328302328302,1078.4358,22.309275,21.2252
2843,83.4624,5,0.09387999999999999,289.15284437799994,112.86164644199998,176.29119793599997,0.0,112.86164644199998,0.0,176.29119793599997,0.0,596.1026428663564,4.59784189638088,-0.4621343434951168,-0.5589772254382648,3219.7189129737126,0.36113158613158614,0.638868413868414,1007.9719000000001,41.966840000000005,37.537639999999996
